"mergeID","isConflicting","existsCommonSlices","totalCommonSlices"
"5b014a653638c71c5779c6026bc43c699856c156","0","0","0"
"f9e65b0f804da58b836624d8303c174001888931","0","1","1"
"0df316be4cb4136135e6b8ce7761ba791ed98987","0","0","0"
"effab2988bb19b18b72f42a8d8ef9449af084f7a","0","0","0"
"e7226dfca1c6db4e7728133532658f8c21671d63","0","0","0"
"3984d6a94755d5e3d530108516d943999eb171fc","0","1","2"
"9e12d67f3f22c51e22be1a5c463c90dc314527c1","0","1","2"
"778ddbee0f55c2c319dd4a4ef925fccebb03d06a","0","0","0"
"81392ae8f2df0b799bd465882ee06b7646d98cca","1","0","0"
"104a26db35ee158f3f6cceedfee916463d89d116","0","1","1"
"ae71f4960b8a29af278952af8a78f81018f780ab","0","1","1"
"779f76fce4b51fcea331ce2412865fad40c16cb4","0","0","0"
"cbfbd6b9ce25bc595539799ea5015143c06cb8a8","0","0","0"
"46e22dbefc8ba35f841eeab9af86b5dc725f0387","0","0","0"
"0e5c8d6aafbdc1b64fa08d8b2c6c6afca0d9690c","0","0","0"
"ad3760612914cc5e77a6d85c7af87401af3184ee","1","1","1"
"164bc19b3e69f8042744c3f5689cfb23b3ec91ce","0","1","1"
"a36d8fece360aa7893a30e15ac03884efa9d399e","0","1","1"
"9ba96becd22dc30e95471ef2ac5c9abb7f6c260b","1","1","1"
"322ffdb91b5f48dcf13eb7a8165a6e999f2cd01a","0","0","0"
"f0cfe50de46111e42d3c3709f56ed66edf87ff8f","1","1","4"
"06fc10e048aef84c1632ca19808bef192a891cf6","0","0","0"
"5aaeba5fedcfa3bd83df2a8cc738b6d21ec58c53","0","0","0"
"15db2a150d41d5e0cf37497edd81d15fe25edafe","0","1","1"
"f2b1b310e5422f8894166c333ca52ac5186ac673","0","1","1"
"debf6ece31af13ff4b0dadbc197ad584cfa7f340","0","0","0"
"1ea872766814cb5d29142aa5b0f3634346a29931","1","1","1"
"5a9ee4642e991b0c0f5d7d84e003da8f2ee204a1","1","1","2"
"8ca4d0fb7f588382981096bd263c41c524123bfb","0","1","1"
"e6384bd5dfe00243ffb511a14cea7fb98dd6c707","0","1","1"
"e886559e9eb7bf34e539f1fbe1622d17c8b41623","1","0","0"
"cd6d37c5e443c3c1046ed5f6f08057aa412ec8a6","0","0","0"
"9a4364bf0c72e588e3bb1a4a0235a2a0aed935e6","0","0","0"
"9e38b3c0fbcc43becc222c65515f87df807f34ae","0","0","0"
"35f24b519d6bfebb4088751d371e10fa439a8715","0","1","2"
"86da0e5154c6a22573037e5fad0a0d5ba09b4ab5","0","0","0"
"91b8ed67f634df7cb95a50842213e7062c4bbc61","0","1","1"
"c6d683083fa73da814e57b10e58bf3e44ef4bc76","0","1","2"
