mergeCommitId,isMergeConflicting,conflictingFiles,parent1Id,parent1Files,parent2Id,parent2Files,ancestorId,numberOfConflicts
462c14a943c8bfca396a4b36c5e42aff6c23119c,false,[],3401f105ecde69aa2e7a2abb8a957e7c0ff9bffd,[app/models/terminal_executor.rb@ test/models/terminal_executor_test.rb],519208c3c34862e0197e86b1a3111b9d9408f6b4,[app/models/stage.rb@ test/models/stage_test.rb],c94d35c17c9d9186886e7170443fa98124c4c236,0
3401f105ecde69aa2e7a2abb8a957e7c0ff9bffd,false,[],c94d35c17c9d9186886e7170443fa98124c4c236,[app/models/docker_builder_service.rb@ plugins/gcloud/lib/samson_gcloud/image_builder.rb@ plugins/gcloud/test/samson_gcloud/image_builder_test.rb],52a3b39feca73b92c76e6e84b0f0e48103075fce,[app/models/terminal_executor.rb@ test/models/terminal_executor_test.rb],d5b858e3bc480b1496aa3fd41a41f38af247836c,0
492c35cc81fb9032392a20300ac78fd7d739572f,false,[],a76cb90bb1a9678091ff7c98cc3ee41db6d006e7,[app/mailers/access_request_mailer.rb@ app/views/users/show.html.erb@ plugins/kubernetes/app/controllers/kubernetes/clusters_controller.rb@ plugins/kubernetes/app/models/kubernetes/api/pod.rb@ plugins/kubernetes/app/models/kubernetes/cluster.rb@ plugins/kubernetes/app/models/kubernetes/deploy_executor.rb@ plugins/kubernetes/app/models/kubernetes/resource.rb@ plugins/kubernetes/app/models/kubernetes/template_filler.rb@ plugins/kubernetes/lib/samson_kubernetes/samson_plugin.rb@ plugins/kubernetes/test/models/kubernetes/deploy_executor_test.rb@ plugins/kubernetes/test/samson_kubernetes/samson_plugin_test.rb@ test/mailers/access_request_mailer_test.rb],1f8672e11092aba132a6e4b01dd003ef7b79f9c0,[app/models/docker_builder_service.rb@ test/models/docker_builder_service_test.rb],8c99aead3fede6f2c454f49a76cb4a59b8c19a13,0
a76cb90bb1a9678091ff7c98cc3ee41db6d006e7,false,[],1f7ec225e0fdf9a9372a372c7974fdea2f776d30,[app/views/users/show.html.erb@ plugins/kubernetes/app/controllers/kubernetes/clusters_controller.rb@ plugins/kubernetes/app/models/kubernetes/api/pod.rb@ plugins/kubernetes/app/models/kubernetes/cluster.rb@ plugins/kubernetes/app/models/kubernetes/deploy_executor.rb@ plugins/kubernetes/app/models/kubernetes/resource.rb@ plugins/kubernetes/lib/samson_kubernetes/samson_plugin.rb@ plugins/kubernetes/test/models/kubernetes/deploy_executor_test.rb@ plugins/kubernetes/test/samson_kubernetes/samson_plugin_test.rb],b8baa7809c217dacefb997cd47c067fe16b079a9,[app/mailers/access_request_mailer.rb@ test/mailers/access_request_mailer_test.rb],2ff235f3024410bf90fd8d3c4a4a02a1a20dd5de,0
1f7ec225e0fdf9a9372a372c7974fdea2f776d30,false,[],22e88b45d4b0bb35e844e9357e20674583bf2a5f,[app/views/users/show.html.erb],6c1823c7f3acfb0b8419f4d6e7dfad8352a7feb0,[plugins/kubernetes/app/controllers/kubernetes/clusters_controller.rb@ plugins/kubernetes/app/models/kubernetes/api/pod.rb@ plugins/kubernetes/app/models/kubernetes/cluster.rb@ plugins/kubernetes/app/models/kubernetes/deploy_executor.rb@ plugins/kubernetes/app/models/kubernetes/resource.rb@ plugins/kubernetes/lib/samson_kubernetes/samson_plugin.rb@ plugins/kubernetes/test/models/kubernetes/deploy_executor_test.rb@ plugins/kubernetes/test/samson_kubernetes/samson_plugin_test.rb],2ff235f3024410bf90fd8d3c4a4a02a1a20dd5de,0
2cde771ced2e87c157000bf1a11e43b802d60ac8,false,[],c936ae5d8ddb0fb73eb334ea2b3793b517bdddce,[app/models/docker_builder_service.rb@ test/models/docker_builder_service_test.rb],8d604e721089fcd494d7dd91b492dd3fbc369d6c,[plugins/gcloud/lib/samson_gcloud/image_builder.rb@ plugins/gcloud/test/samson_gcloud/image_builder_test.rb],9adeb4c50f344412d8df4ba66fb8f3d6c1299c75,0
c936ae5d8ddb0fb73eb334ea2b3793b517bdddce,false,[],9adeb4c50f344412d8df4ba66fb8f3d6c1299c75,[plugins/gcloud/README.md],d7bf4ee3d75bafc99e4ad44d4d0efc5534f3f8d3,[app/models/docker_builder_service.rb@ test/models/docker_builder_service_test.rb],bcae59fa2d51fddc181bff7edce4ecc70b61898e,0
bcae59fa2d51fddc181bff7edce4ecc70b61898e,false,[],b1ebccb1f91f947cd47d1b73bf4ef795fd1bba38,[app/controllers/audits_controller.rb@ app/controllers/builds_controller.rb@ app/views/audits/_table.html.erb@ app/views/audits/index.html.erb@ app/views/audits/show.html.erb@ app/views/builds/show.html.erb@ config/routes.rb@ plugins/kubernetes/app/controllers/kubernetes/clusters_controller.rb@ plugins/kubernetes/app/controllers/kubernetes/deploy_group_roles_controller.rb@ plugins/kubernetes/app/controllers/kubernetes/roles_controller.rb@ plugins/kubernetes/app/controllers/kubernetes/usage_limits_controller.rb@ plugins/kubernetes/app/views/kubernetes/releases/index.html.erb@ plugins/kubernetes/app/views/kubernetes/releases/show.html.erb@ plugins/kubernetes/app/views/kubernetes/roles/example.html.erb@ plugins/kubernetes/app/views/kubernetes/roles/index.html.erb@ plugins/kubernetes/app/views/kubernetes/roles/new.html.erb@ plugins/kubernetes/app/views/kubernetes/roles/show.html.erb@ plugins/kubernetes/app/views/samson_kubernetes/_admin_menu.html.erb@ plugins/kubernetes/app/views/samson_kubernetes/_manage_menu.html.erb@ plugins/kubernetes/app/views/samson_kubernetes/_navigation.html.erb@ plugins/kubernetes/app/views/samson_kubernetes/_role_navigation.html.erb@ plugins/kubernetes/lib/samson_kubernetes/samson_plugin.rb@ plugins/kubernetes/test/controllers/kubernetes/clusters_controller_test.rb@ plugins/kubernetes/test/controllers/kubernetes/roles_controller_test.rb@ plugins/kubernetes/test/controllers/kubernetes/usage_limits_controller_test.rb@ test/controllers/audits_controller_test.rb@ test/controllers/builds_controller_test.rb],d6e8300e75069b01c3d8d556969448ca1ea039b0,[.env.example@ Gemfile.lock@ app/models/docker_builder_service.rb@ app/views/projects/_form.html.erb@ db/schema.rb@ docs/plugins.md@ lib/samson/hooks.rb@ plugins/gcloud/README.md@ plugins/gcloud/app/views/samson_gcloud/_project_form_checkbox.html.erb@ plugins/gcloud/db/migrate/20171110221726_add_build_with_gcb_to_project.rb@ plugins/gcloud/gcloud.gemspec@ plugins/gcloud/lib/samson_gcloud/image_builder.rb@ plugins/gcloud/lib/samson_gcloud/image_tagger.rb@ plugins/gcloud/lib/samson_gcloud/samson_plugin.rb@ plugins/gcloud/test/samson_gcloud/image_builder_test.rb@ plugins/gcloud/test/samson_gcloud/image_tagger_test.rb@ plugins/gcloud/test/samson_gcloud/samson_plugin_test.rb@ plugins/gcloud/test/test_helper.rb@ plugins/gcloud_image_tagger/README.md@ plugins/gcloud_image_tagger/gcloud_image_tagger.gemspec@ plugins/gcloud_image_tagger/lib/gcloud_image_tagger/samson_plugin.rb@ plugins/gcloud_image_tagger/test/gcloud_image_tagger/samson_plugin_test.rb@ plugins/gcloud_image_tagger/test/test_helper.rb@ test/models/docker_builder_service_test.rb],4461d0dc7b28590b9f112234c80ddba2f9359667,0
e8a558e1953419e639d5698d2364516039dc1483,false,[],370b1455ed551d678f028ab54b593537f6be84f8,[app/controllers/audits_controller.rb@ app/models/docker_builder_service.rb@ app/views/audits/_table.html.erb@ app/views/audits/index.html.erb@ app/views/audits/show.html.erb@ config/initializers/docker.rb@ config/routes.rb@ plugins/kubernetes/app/controllers/kubernetes/deploy_group_roles_controller.rb@ plugins/kubernetes/app/controllers/kubernetes/roles_controller.rb@ test/controllers/audits_controller_test.rb@ test/models/docker_builder_service_test.rb],4137125b601d8831c2325d8c0eec3d58e10b1ef9,[plugins/kubernetes/app/controllers/kubernetes/clusters_controller.rb@ plugins/kubernetes/app/controllers/kubernetes/roles_controller.rb@ plugins/kubernetes/app/controllers/kubernetes/usage_limits_controller.rb@ plugins/kubernetes/app/views/kubernetes/releases/index.html.erb@ plugins/kubernetes/app/views/kubernetes/releases/show.html.erb@ plugins/kubernetes/app/views/kubernetes/roles/example.html.erb@ plugins/kubernetes/app/views/kubernetes/roles/index.html.erb@ plugins/kubernetes/app/views/kubernetes/roles/new.html.erb@ plugins/kubernetes/app/views/kubernetes/roles/show.html.erb@ plugins/kubernetes/app/views/samson_kubernetes/_admin_menu.html.erb@ plugins/kubernetes/app/views/samson_kubernetes/_manage_menu.html.erb@ plugins/kubernetes/app/views/samson_kubernetes/_navigation.html.erb@ plugins/kubernetes/app/views/samson_kubernetes/_role_navigation.html.erb@ plugins/kubernetes/lib/samson_kubernetes/samson_plugin.rb@ plugins/kubernetes/test/controllers/kubernetes/clusters_controller_test.rb@ plugins/kubernetes/test/controllers/kubernetes/roles_controller_test.rb@ plugins/kubernetes/test/controllers/kubernetes/usage_limits_controller_test.rb],25e94111ce9075bf1aade7e64bfc85e48b796340,0
370b1455ed551d678f028ab54b593537f6be84f8,false,[],501adf0f0cdaf1cd2b3db7b54d7f188163bb38b8,[app/controllers/audits_controller.rb@ app/models/docker_builder_service.rb@ app/views/audits/_table.html.erb@ app/views/audits/index.html.erb@ app/views/audits/show.html.erb@ config/initializers/docker.rb@ config/routes.rb@ test/controllers/audits_controller_test.rb@ test/models/docker_builder_service_test.rb],44c622083b04903a2263276b3b2817e00833ed11,[plugins/kubernetes/app/controllers/kubernetes/deploy_group_roles_controller.rb@ plugins/kubernetes/app/controllers/kubernetes/roles_controller.rb],25e94111ce9075bf1aade7e64bfc85e48b796340,0
